phase,mode,task_id,domain,batch,subject,target_relation,expected,actual,reasoning_mode,correct,faithful,support,retrieval_score,elapsed_ms
Batch 1 External Geo KGQA after replay,hybrid,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,South America,vector_retrieved_then_symbolically_verified,True,True,Argentina --HAS_CAPITAL--> Buenos Aires; Buenos Aires --LOCATED_IN--> South America,0.4946,0.39970900979824364
Batch 1 External Geo KGQA after replay,hybrid,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,Asia,vector_retrieved_then_symbolically_verified,True,True,South Korea --HAS_CAPITAL--> Seoul; Seoul --LOCATED_IN--> Asia,0.5107,0.3950829850509763
Batch 1 External Geo KGQA after replay,hybrid,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,Europe,vector_retrieved_then_symbolically_verified,True,True,Italy --HAS_CAPITAL--> Rome; Rome --LOCATED_IN--> Europe,0.5283,0.3928749938495457
Batch 1 External Geo KGQA after replay,hybrid,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,Africa,vector_retrieved_then_symbolically_verified,True,True,Nigeria --HAS_CAPITAL--> Abuja; Abuja --LOCATED_IN--> Africa,0.5244,0.39370800368487835
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,Asia,graph_only,True,True,India --HAS_CAPITAL--> New Delhi; New Delhi --LOCATED_IN--> Asia,0.0,0.0077500008046627045
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,Europe,graph_only,True,True,France --HAS_CAPITAL--> Paris; Paris --LOCATED_IN--> Europe,0.0,0.005332985892891884
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,Asia,graph_only,True,True,Japan --HAS_CAPITAL--> Tokyo; Tokyo --LOCATED_IN--> Asia,0.0,0.0041669991333037615
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,North America,graph_only,True,True,Canada --HAS_CAPITAL--> Ottawa; Ottawa --LOCATED_IN--> North America,0.0,0.003749999450519681
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,South America,graph_only,True,True,Brazil --HAS_CAPITAL--> Brasilia; Brasilia --LOCATED_IN--> South America,0.0,0.0036249984987080097
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,Africa,graph_only,True,True,Egypt --HAS_CAPITAL--> Cairo; Cairo --LOCATED_IN--> Africa,0.0,0.004083005478605628
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,Oceania,graph_only,True,True,Australia --HAS_CAPITAL--> Canberra; Canberra --LOCATED_IN--> Oceania,0.0,0.0032920215744525194
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,North America,graph_only,True,True,United States --HAS_CAPITAL--> Washington DC; Washington DC --LOCATED_IN--> North America,0.0,0.003208027919754386
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,Europe,graph_only,True,True,Germany --HAS_CAPITAL--> Berlin; Berlin --LOCATED_IN--> Europe,0.0,0.0034999975468963385
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,Africa,graph_only,True,True,Kenya --HAS_CAPITAL--> Nairobi; Nairobi --LOCATED_IN--> Africa,0.0,0.0034999975468963385
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,North America,graph_only,True,True,Mexico --HAS_CAPITAL--> Mexico City; Mexico City --LOCATED_IN--> North America,0.0,0.003375025698915124
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,South America,graph_only,True,True,Argentina --HAS_CAPITAL--> Buenos Aires; Buenos Aires --LOCATED_IN--> South America,0.0,0.0034580007195472717
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,Asia,graph_only,True,True,South Korea --HAS_CAPITAL--> Seoul; Seoul --LOCATED_IN--> Asia,0.0,0.0036659766919910908
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,Europe,graph_only,True,True,Italy --HAS_CAPITAL--> Rome; Rome --LOCATED_IN--> Europe,0.0,0.0035840203054249287
Batch 1 External Geo KGQA after replay,graph_only,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,Africa,graph_only,True,True,Nigeria --HAS_CAPITAL--> Abuja; Abuja --LOCATED_IN--> Africa,0.0,0.0035409757401794195
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,Asia,vector_only_unverified,True,False,retrieved:India-CAPITAL_CONTINENT-Asia,0.5171,0.44262499432079494
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,Europe,vector_only_unverified,True,False,retrieved:France-CAPITAL_CONTINENT-Europe,0.4951,0.4041669890284538
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,Asia,vector_only_unverified,True,False,retrieved:Japan-CAPITAL_CONTINENT-Asia,0.5034,0.42641698382794857
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,North America,vector_only_unverified,True,False,retrieved:Canada-CAPITAL_CONTINENT-North America,0.4941,0.417709001339972
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,South America,vector_only_unverified,True,False,retrieved:Brazil-CAPITAL_CONTINENT-South America,0.5073,0.3985840012319386
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,Africa,vector_only_unverified,True,False,retrieved:Egypt-CAPITAL_CONTINENT-Africa,0.5,0.39304199162870646
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,Oceania,vector_only_unverified,True,False,retrieved:Australia-CAPITAL_CONTINENT-Oceania,0.5112,0.3946250071749091
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,North America,vector_only_unverified,True,False,retrieved:United States-CAPITAL_CONTINENT-North America,0.4854,0.39108298369683325
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,Europe,vector_only_unverified,True,False,retrieved:Germany-CAPITAL_CONTINENT-Europe,0.4814,0.3911250096280128
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,Africa,vector_only_unverified,True,False,retrieved:Kenya-CAPITAL_CONTINENT-Africa,0.5112,0.3929999948013574
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,North America,vector_only_unverified,True,False,retrieved:Mexico-CAPITAL_CONTINENT-North America,0.4946,0.39883400313556194
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,South America,vector_only_unverified,True,False,retrieved:Argentina-CAPITAL_CONTINENT-South America,0.4946,0.39429200114682317
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,Asia,vector_only_unverified,True,False,retrieved:South Korea-CAPITAL_CONTINENT-Asia,0.5107,0.39075000677257776
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,Europe,vector_only_unverified,True,False,retrieved:Italy-CAPITAL_CONTINENT-Europe,0.5283,0.393458001781255
Batch 1 External Geo KGQA after replay,vector_only,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,Africa,vector_only_unverified,True,False,retrieved:Nigeria-CAPITAL_CONTINENT-Africa,0.5244,0.3901669988408685
Batch 2 Math after replay,hybrid,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,Asia,vector_retrieved_then_symbolically_verified,True,True,India --HAS_CAPITAL--> New Delhi; New Delhi --LOCATED_IN--> Asia,0.5171,0.48837499343790114
Batch 2 Math after replay,hybrid,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,Europe,vector_retrieved_then_symbolically_verified,True,True,France --HAS_CAPITAL--> Paris; Paris --LOCATED_IN--> Europe,0.4951,0.4700839926954359
Batch 2 Math after replay,hybrid,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,Asia,vector_retrieved_then_symbolically_verified,True,True,Japan --HAS_CAPITAL--> Tokyo; Tokyo --LOCATED_IN--> Asia,0.5034,0.47620799159631133
Batch 2 Math after replay,hybrid,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,North America,vector_retrieved_then_symbolically_verified,True,True,Canada --HAS_CAPITAL--> Ottawa; Ottawa --LOCATED_IN--> North America,0.4941,0.4675830132327974
Batch 2 Math after replay,hybrid,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,South America,vector_retrieved_then_symbolically_verified,True,True,Brazil --HAS_CAPITAL--> Brasilia; Brasilia --LOCATED_IN--> South America,0.5073,0.4660000267904252
Batch 2 Math after replay,hybrid,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,Africa,vector_retrieved_then_symbolically_verified,True,True,Egypt --HAS_CAPITAL--> Cairo; Cairo --LOCATED_IN--> Africa,0.5,0.46745798317715526
Batch 2 Math after replay,hybrid,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,Oceania,vector_retrieved_then_symbolically_verified,True,True,Australia --HAS_CAPITAL--> Canberra; Canberra --LOCATED_IN--> Oceania,0.5112,0.46666699927300215
Batch 2 Math after replay,hybrid,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,North America,vector_retrieved_then_symbolically_verified,True,True,United States --HAS_CAPITAL--> Washington DC; Washington DC --LOCATED_IN--> North America,0.4854,0.4674170049838722
Batch 2 Math after replay,hybrid,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,Europe,vector_retrieved_then_symbolically_verified,True,True,Germany --HAS_CAPITAL--> Berlin; Berlin --LOCATED_IN--> Europe,0.4814,0.4682909930124879
Batch 2 Math after replay,hybrid,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,Africa,vector_retrieved_then_symbolically_verified,True,True,Kenya --HAS_CAPITAL--> Nairobi; Nairobi --LOCATED_IN--> Africa,0.5112,0.46800001291558146
Batch 2 Math after replay,hybrid,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,North America,vector_retrieved_then_symbolically_verified,True,True,Mexico --HAS_CAPITAL--> Mexico City; Mexico City --LOCATED_IN--> North America,0.4946,0.48320900532417
Batch 2 Math after replay,hybrid,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,South America,vector_retrieved_then_symbolically_verified,True,True,Argentina --HAS_CAPITAL--> Buenos Aires; Buenos Aires --LOCATED_IN--> South America,0.4946,0.49433301319368184
Batch 2 Math after replay,hybrid,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,Asia,vector_retrieved_then_symbolically_verified,True,True,South Korea --HAS_CAPITAL--> Seoul; Seoul --LOCATED_IN--> Asia,0.5107,0.49020801088772714
Batch 2 Math after replay,hybrid,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,Europe,vector_retrieved_then_symbolically_verified,True,True,Italy --HAS_CAPITAL--> Rome; Rome --LOCATED_IN--> Europe,0.5283,0.5552500078920275
Batch 2 Math after replay,hybrid,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,Africa,vector_retrieved_then_symbolically_verified,True,True,Nigeria --HAS_CAPITAL--> Abuja; Abuja --LOCATED_IN--> Africa,0.5244,0.5061670090071857
Batch 2 Math after replay,hybrid,math_t1,math,Batch 2 Math,math_problem_x_plus_2_eq_5,HAS_SOLUTION,x_equals_3,x_equals_3,vector_retrieved_then_symbolically_verified,True,True,math_problem_x_plus_2_eq_5 --HAS_EQUATION--> equation_x_plus_2_eq_5; equation_x_plus_2_eq_5 --EQUATION_SOLVES_TO--> x_equals_3,0.5181,0.48229098320007324
Batch 2 Math after replay,hybrid,math_t2,math,Batch 2 Math,math_problem_2x_eq_10,HAS_SOLUTION,x_equals_5,x_equals_5,vector_retrieved_then_symbolically_verified,True,True,math_problem_2x_eq_10 --HAS_EQUATION--> equation_2x_eq_10; equation_2x_eq_10 --EQUATION_SOLVES_TO--> x_equals_5,0.5044,0.47333299880847335
Batch 2 Math after replay,hybrid,math_t3,math,Batch 2 Math,math_problem_x_minus_4_eq_2,HAS_SOLUTION,x_equals_6,x_equals_6,vector_retrieved_then_symbolically_verified,True,True,math_problem_x_minus_4_eq_2 --HAS_EQUATION--> equation_x_minus_4_eq_2; equation_x_minus_4_eq_2 --EQUATION_SOLVES_TO--> x_equals_6,0.4844,0.4717080155387521
Batch 2 Math after replay,graph_only,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,Asia,graph_only,True,True,India --HAS_CAPITAL--> New Delhi; New Delhi --LOCATED_IN--> Asia,0.0,0.00837500556372106
Batch 2 Math after replay,graph_only,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,Europe,graph_only,True,True,France --HAS_CAPITAL--> Paris; Paris --LOCATED_IN--> Europe,0.0,0.005290989065542817
Batch 2 Math after replay,graph_only,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,Asia,graph_only,True,True,Japan --HAS_CAPITAL--> Tokyo; Tokyo --LOCATED_IN--> Asia,0.0,0.004458008334040642
Batch 2 Math after replay,graph_only,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,North America,graph_only,True,True,Canada --HAS_CAPITAL--> Ottawa; Ottawa --LOCATED_IN--> North America,0.0,0.004250003257766366
Batch 2 Math after replay,graph_only,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,South America,graph_only,True,True,Brazil --HAS_CAPITAL--> Brasilia; Brasilia --LOCATED_IN--> South America,0.0,0.0040000013541430235
Batch 2 Math after replay,graph_only,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,Africa,graph_only,True,True,Egypt --HAS_CAPITAL--> Cairo; Cairo --LOCATED_IN--> Africa,0.0,0.004125002305954695
Batch 2 Math after replay,graph_only,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,Oceania,graph_only,True,True,Australia --HAS_CAPITAL--> Canberra; Canberra --LOCATED_IN--> Oceania,0.0,0.0038750004023313522
Batch 2 Math after replay,graph_only,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,North America,graph_only,True,True,United States --HAS_CAPITAL--> Washington DC; Washington DC --LOCATED_IN--> North America,0.0,0.0037910067476332188
Batch 2 Math after replay,graph_only,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,Europe,graph_only,True,True,Germany --HAS_CAPITAL--> Berlin; Berlin --LOCATED_IN--> Europe,0.0,0.004250003257766366
Batch 2 Math after replay,graph_only,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,Africa,graph_only,True,True,Kenya --HAS_CAPITAL--> Nairobi; Nairobi --LOCATED_IN--> Africa,0.0,0.004209025064483285
Batch 2 Math after replay,graph_only,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,North America,graph_only,True,True,Mexico --HAS_CAPITAL--> Mexico City; Mexico City --LOCATED_IN--> North America,0.0,0.004124973202124238
Batch 2 Math after replay,graph_only,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,South America,graph_only,True,True,Argentina --HAS_CAPITAL--> Buenos Aires; Buenos Aires --LOCATED_IN--> South America,0.0,0.0038330035749822855
Batch 2 Math after replay,graph_only,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,Asia,graph_only,True,True,South Korea --HAS_CAPITAL--> Seoul; Seoul --LOCATED_IN--> Asia,0.0,0.0038330035749822855
Batch 2 Math after replay,graph_only,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,Europe,graph_only,True,True,Italy --HAS_CAPITAL--> Rome; Rome --LOCATED_IN--> Europe,0.0,0.0040000013541430235
Batch 2 Math after replay,graph_only,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,Africa,graph_only,True,True,Nigeria --HAS_CAPITAL--> Abuja; Abuja --LOCATED_IN--> Africa,0.0,0.0038330035749822855
Batch 2 Math after replay,graph_only,math_t1,math,Batch 2 Math,math_problem_x_plus_2_eq_5,HAS_SOLUTION,x_equals_3,x_equals_3,graph_only,True,True,math_problem_x_plus_2_eq_5 --HAS_EQUATION--> equation_x_plus_2_eq_5; equation_x_plus_2_eq_5 --EQUATION_SOLVES_TO--> x_equals_3,0.0,0.0048330111894756556
Batch 2 Math after replay,graph_only,math_t2,math,Batch 2 Math,math_problem_2x_eq_10,HAS_SOLUTION,x_equals_5,x_equals_5,graph_only,True,True,math_problem_2x_eq_10 --HAS_EQUATION--> equation_2x_eq_10; equation_2x_eq_10 --EQUATION_SOLVES_TO--> x_equals_5,0.0,0.003708992153406143
Batch 2 Math after replay,graph_only,math_t3,math,Batch 2 Math,math_problem_x_minus_4_eq_2,HAS_SOLUTION,x_equals_6,x_equals_6,graph_only,True,True,math_problem_x_minus_4_eq_2 --HAS_EQUATION--> equation_x_minus_4_eq_2; equation_x_minus_4_eq_2 --EQUATION_SOLVES_TO--> x_equals_6,0.0,0.0035409757401794195
Batch 2 Math after replay,vector_only,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,Asia,vector_only_unverified,True,False,retrieved:India-CAPITAL_CONTINENT-Asia,0.5171,0.504583993460983
Batch 2 Math after replay,vector_only,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,Europe,vector_only_unverified,True,False,retrieved:France-CAPITAL_CONTINENT-Europe,0.4951,0.47666599857620895
Batch 2 Math after replay,vector_only,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,Asia,vector_only_unverified,True,False,retrieved:Japan-CAPITAL_CONTINENT-Asia,0.5034,0.47274999087676406
Batch 2 Math after replay,vector_only,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,North America,vector_only_unverified,True,False,retrieved:Canada-CAPITAL_CONTINENT-North America,0.4941,0.4675829841289669
Batch 2 Math after replay,vector_only,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,South America,vector_only_unverified,True,False,retrieved:Brazil-CAPITAL_CONTINENT-South America,0.5073,0.46999999904073775
Batch 2 Math after replay,vector_only,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,Africa,vector_only_unverified,True,False,retrieved:Egypt-CAPITAL_CONTINENT-Africa,0.5,0.46904198825359344
Batch 2 Math after replay,vector_only,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,Oceania,vector_only_unverified,True,False,retrieved:Australia-CAPITAL_CONTINENT-Oceania,0.5112,0.47066700062714517
Batch 2 Math after replay,vector_only,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,North America,vector_only_unverified,True,False,retrieved:United States-CAPITAL_CONTINENT-North America,0.4854,0.46999999904073775
Batch 2 Math after replay,vector_only,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,Europe,vector_only_unverified,True,False,retrieved:Germany-CAPITAL_CONTINENT-Europe,0.4814,0.46779197873547673
Batch 2 Math after replay,vector_only,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,Africa,vector_only_unverified,True,False,retrieved:Kenya-CAPITAL_CONTINENT-Africa,0.5112,0.46645899419672787
Batch 2 Math after replay,vector_only,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,North America,vector_only_unverified,True,False,retrieved:Mexico-CAPITAL_CONTINENT-North America,0.4946,0.4675000091083348
Batch 2 Math after replay,vector_only,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,South America,vector_only_unverified,True,False,retrieved:Argentina-CAPITAL_CONTINENT-South America,0.4946,0.46687497524544597
Batch 2 Math after replay,vector_only,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,Asia,vector_only_unverified,True,False,retrieved:South Korea-CAPITAL_CONTINENT-Asia,0.5107,0.47545801498927176
Batch 2 Math after replay,vector_only,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,Europe,vector_only_unverified,True,False,retrieved:Italy-CAPITAL_CONTINENT-Europe,0.5283,0.466583005618304
Batch 2 Math after replay,vector_only,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,Africa,vector_only_unverified,True,False,retrieved:Nigeria-CAPITAL_CONTINENT-Africa,0.5244,0.46699997619725764
Batch 2 Math after replay,vector_only,math_t1,math,Batch 2 Math,math_problem_x_plus_2_eq_5,HAS_SOLUTION,x_equals_3,x_equals_3,vector_only_unverified,True,False,retrieved:math_problem_x_plus_2_eq_5-HAS_SOLUTION-x_equals_3,0.5181,0.4809170204680413
Batch 2 Math after replay,vector_only,math_t2,math,Batch 2 Math,math_problem_2x_eq_10,HAS_SOLUTION,x_equals_5,x_equals_5,vector_only_unverified,True,False,retrieved:math_problem_2x_eq_10-HAS_SOLUTION-x_equals_5,0.5044,0.527374999364838
Batch 2 Math after replay,vector_only,math_t3,math,Batch 2 Math,math_problem_x_minus_4_eq_2,HAS_SOLUTION,x_equals_6,x_equals_6,vector_only_unverified,True,False,retrieved:math_problem_x_minus_4_eq_2-HAS_SOLUTION-x_equals_6,0.4844,0.5115829990245402
