phase,mode,task_id,domain,batch,subject,target_relation,expected,actual,reasoning_mode,correct,faithful,support,retrieval_score,elapsed_ms
Batch 1 External Geo KGQA after replay,hybrid,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,Europe,vector_retrieved_then_symbolically_verified,True,True,Italy --HAS_CAPITAL--> Rome; Rome --LOCATED_IN--> Europe,0.5283,0.3907919744960964
Batch 1 External Geo KGQA after replay,hybrid,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,Africa,vector_retrieved_then_symbolically_verified,True,True,Nigeria --HAS_CAPITAL--> Abuja; Abuja --LOCATED_IN--> Africa,0.5244,0.39133301470428705
Batch 2 Math after replay,hybrid,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,Asia,vector_retrieved_then_symbolically_verified,True,True,India --HAS_CAPITAL--> New Delhi; New Delhi --LOCATED_IN--> Asia,0.5171,0.518708024173975
Batch 2 Math after replay,hybrid,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,Europe,vector_retrieved_then_symbolically_verified,True,True,France --HAS_CAPITAL--> Paris; Paris --LOCATED_IN--> Europe,0.4951,0.47408402315340936
Batch 2 Math after replay,hybrid,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,Asia,vector_retrieved_then_symbolically_verified,True,True,Japan --HAS_CAPITAL--> Tokyo; Tokyo --LOCATED_IN--> Asia,0.5034,0.47191602061502635
Batch 2 Math after replay,hybrid,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,North America,vector_retrieved_then_symbolically_verified,True,True,Canada --HAS_CAPITAL--> Ottawa; Ottawa --LOCATED_IN--> North America,0.4941,0.46912499237805605
Batch 2 Math after replay,hybrid,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,South America,vector_retrieved_then_symbolically_verified,True,True,Brazil --HAS_CAPITAL--> Brasilia; Brasilia --LOCATED_IN--> South America,0.5073,0.47195798833854496
Batch 2 Math after replay,hybrid,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,Africa,vector_retrieved_then_symbolically_verified,True,True,Egypt --HAS_CAPITAL--> Cairo; Cairo --LOCATED_IN--> Africa,0.5,0.47104101395234466
Batch 2 Math after replay,hybrid,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,Oceania,vector_retrieved_then_symbolically_verified,True,True,Australia --HAS_CAPITAL--> Canberra; Canberra --LOCATED_IN--> Oceania,0.5112,0.4675829841289669
Batch 2 Math after replay,hybrid,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,North America,vector_retrieved_then_symbolically_verified,True,True,United States --HAS_CAPITAL--> Washington DC; Washington DC --LOCATED_IN--> North America,0.4854,0.4718340060207993
Batch 2 Math after replay,hybrid,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,Europe,vector_retrieved_then_symbolically_verified,True,True,Germany --HAS_CAPITAL--> Berlin; Berlin --LOCATED_IN--> Europe,0.4814,0.4690420173574239
Batch 2 Math after replay,hybrid,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,Africa,vector_retrieved_then_symbolically_verified,True,True,Kenya --HAS_CAPITAL--> Nairobi; Nairobi --LOCATED_IN--> Africa,0.5112,0.4676670068874955
Batch 2 Math after replay,hybrid,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,North America,vector_retrieved_then_symbolically_verified,True,True,Mexico --HAS_CAPITAL--> Mexico City; Mexico City --LOCATED_IN--> North America,0.4946,0.46891701640561223
Batch 2 Math after replay,hybrid,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,South America,vector_retrieved_then_symbolically_verified,True,True,Argentina --HAS_CAPITAL--> Buenos Aires; Buenos Aires --LOCATED_IN--> South America,0.4946,0.47029100824147463
Batch 2 Math after replay,hybrid,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,Asia,vector_retrieved_then_symbolically_verified,True,True,South Korea --HAS_CAPITAL--> Seoul; Seoul --LOCATED_IN--> Asia,0.5107,0.46791700879111886
Batch 2 Math after replay,hybrid,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,Europe,vector_retrieved_then_symbolically_verified,True,True,Italy --HAS_CAPITAL--> Rome; Rome --LOCATED_IN--> Europe,0.5283,0.4690409987233579
Batch 2 Math after replay,hybrid,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,Africa,vector_retrieved_then_symbolically_verified,True,True,Nigeria --HAS_CAPITAL--> Abuja; Abuja --LOCATED_IN--> Africa,0.5244,0.48229200183413923
Batch 2 Math after replay,hybrid,math_t1,math,Batch 2 Math,math_problem_x_plus_2_eq_5,HAS_SOLUTION,x_equals_3,x_equals_3,vector_retrieved_then_symbolically_verified,True,True,math_problem_x_plus_2_eq_5 --HAS_EQUATION--> equation_x_plus_2_eq_5; equation_x_plus_2_eq_5 --EQUATION_SOLVES_TO--> x_equals_3,0.5181,0.4719170101452619
Batch 2 Math after replay,hybrid,math_t2,math,Batch 2 Math,math_problem_2x_eq_10,HAS_SOLUTION,x_equals_5,x_equals_5,vector_retrieved_then_symbolically_verified,True,True,math_problem_2x_eq_10 --HAS_EQUATION--> equation_2x_eq_10; equation_2x_eq_10 --EQUATION_SOLVES_TO--> x_equals_5,0.5044,0.4692919901572168
Batch 2 Math after replay,hybrid,math_t3,math,Batch 2 Math,math_problem_x_minus_4_eq_2,HAS_SOLUTION,x_equals_6,x_equals_6,vector_retrieved_then_symbolically_verified,True,True,math_problem_x_minus_4_eq_2 --HAS_EQUATION--> equation_x_minus_4_eq_2; equation_x_minus_4_eq_2 --EQUATION_SOLVES_TO--> x_equals_6,0.4844,0.4677500110119581
Batch 3 RCA after replay,hybrid,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.4339170118328184
Batch 3 RCA after replay,hybrid,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.4203749995213002
Batch 3 RCA after replay,hybrid,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.41570901521481574
Batch 3 RCA after replay,hybrid,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.4149999876972288
Batch 3 RCA after replay,hybrid,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,,not_found,False,False,,0.0,0.41779098683036864
Batch 3 RCA after replay,hybrid,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.4148330190218985
Batch 3 RCA after replay,hybrid,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,,not_found,False,False,,0.0,0.4142090037930757
Batch 3 RCA after replay,hybrid,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.41412501013837755
Batch 3 RCA after replay,hybrid,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.4172910121269524
Batch 3 RCA after replay,hybrid,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.41483298991806805
Batch 3 RCA after replay,hybrid,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.4144999838899821
Batch 3 RCA after replay,hybrid,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,,not_found,False,False,,0.0,0.42449997272342443
Batch 3 RCA after replay,hybrid,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.41620800038799644
Batch 3 RCA after replay,hybrid,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.41737500578165054
Batch 3 RCA after replay,hybrid,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.4138750082347542
Batch 3 RCA after replay,hybrid,math_t1,math,Batch 2 Math,math_problem_x_plus_2_eq_5,HAS_SOLUTION,x_equals_3,x_equals_3,vector_retrieved_then_symbolically_verified,True,True,math_problem_x_plus_2_eq_5 --HAS_EQUATION--> equation_x_plus_2_eq_5; equation_x_plus_2_eq_5 --EQUATION_SOLVES_TO--> x_equals_3,0.5181,0.4199590184725821
Batch 3 RCA after replay,hybrid,math_t2,math,Batch 2 Math,math_problem_2x_eq_10,HAS_SOLUTION,x_equals_5,x_equals_5,vector_retrieved_then_symbolically_verified,True,True,math_problem_2x_eq_10 --HAS_EQUATION--> equation_2x_eq_10; equation_2x_eq_10 --EQUATION_SOLVES_TO--> x_equals_5,0.5044,0.41720797889865935
Batch 3 RCA after replay,hybrid,math_t3,math,Batch 2 Math,math_problem_x_minus_4_eq_2,HAS_SOLUTION,x_equals_6,x_equals_6,vector_retrieved_then_symbolically_verified,True,True,math_problem_x_minus_4_eq_2 --HAS_EQUATION--> equation_x_minus_4_eq_2; equation_x_minus_4_eq_2 --EQUATION_SOLVES_TO--> x_equals_6,0.4844,0.41704101022332907
Batch 3 RCA after replay,hybrid,rca_t1,rca,Batch 3 RCA,incident_checkout_latency,HAS_ROOT_CAUSE,cause_database_bottleneck,cause_database_bottleneck,vector_retrieved_then_symbolically_verified,True,True,incident_checkout_latency --HAS_SIGNAL--> signal_db_cpu_spike; signal_db_cpu_spike --SIGNAL_POINTS_TO--> cause_database_bottleneck,0.502,0.41825001244433224
Batch 3 RCA after replay,hybrid,rca_t2,rca,Batch 3 RCA,incident_api_errors,HAS_ROOT_CAUSE,cause_auth_service_degradation,cause_auth_service_degradation,vector_retrieved_then_symbolically_verified,True,True,incident_api_errors --HAS_SIGNAL--> signal_auth_timeout; signal_auth_timeout --SIGNAL_POINTS_TO--> cause_auth_service_degradation,0.4858,0.41599999531172216
Batch 3 RCA after replay,hybrid,rca_t3,rca,Batch 3 RCA,incident_payment_failures,HAS_ROOT_CAUSE,cause_payment_gateway_outage,cause_payment_gateway_outage,vector_retrieved_then_symbolically_verified,True,True,incident_payment_failures --HAS_SIGNAL--> signal_gateway_5xx; signal_gateway_5xx --SIGNAL_POINTS_TO--> cause_payment_gateway_outage,0.5005,0.4159590171184391
Batch 4 Forecast after replay,hybrid,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.4779169976245612
Batch 4 Forecast after replay,hybrid,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.46624999959021807
Batch 4 Forecast after replay,hybrid,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.4683330189436674
Batch 4 Forecast after replay,hybrid,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.4757910210173577
Batch 4 Forecast after replay,hybrid,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,,not_found,False,False,,0.0,0.46804099110886455
Batch 4 Forecast after replay,hybrid,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.4644170112442225
Batch 4 Forecast after replay,hybrid,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,,not_found,False,False,,0.0,0.46779197873547673
Batch 4 Forecast after replay,hybrid,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.4808749945368618
Batch 4 Forecast after replay,hybrid,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.48145800246857107
Batch 4 Forecast after replay,hybrid,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.4902920045424253
Batch 4 Forecast after replay,hybrid,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.5075419903732836
Batch 4 Forecast after replay,hybrid,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,,not_found,False,False,,0.0,0.48249997780658305
Batch 4 Forecast after replay,hybrid,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.47766699572093785
Batch 4 Forecast after replay,hybrid,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.4693749942816794
Batch 4 Forecast after replay,hybrid,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.46675000339746475
Batch 4 Forecast after replay,hybrid,math_t1,math,Batch 2 Math,math_problem_x_plus_2_eq_5,HAS_SOLUTION,x_equals_3,,not_found,False,False,,0.0,0.46666699927300215
Batch 4 Forecast after replay,hybrid,math_t2,math,Batch 2 Math,math_problem_2x_eq_10,HAS_SOLUTION,x_equals_5,,not_found,False,False,,0.0,0.46862498857080936
Batch 4 Forecast after replay,hybrid,math_t3,math,Batch 2 Math,math_problem_x_minus_4_eq_2,HAS_SOLUTION,x_equals_6,,not_found,False,False,,0.0,0.4657499957829714
Batch 4 Forecast after replay,hybrid,rca_t1,rca,Batch 3 RCA,incident_checkout_latency,HAS_ROOT_CAUSE,cause_database_bottleneck,cause_database_bottleneck,vector_retrieved_then_symbolically_verified,True,True,incident_checkout_latency --HAS_SIGNAL--> signal_db_cpu_spike; signal_db_cpu_spike --SIGNAL_POINTS_TO--> cause_database_bottleneck,0.502,0.4722499870695174
Batch 4 Forecast after replay,hybrid,rca_t2,rca,Batch 3 RCA,incident_api_errors,HAS_ROOT_CAUSE,cause_auth_service_degradation,cause_auth_service_degradation,vector_retrieved_then_symbolically_verified,True,True,incident_api_errors --HAS_SIGNAL--> signal_auth_timeout; signal_auth_timeout --SIGNAL_POINTS_TO--> cause_auth_service_degradation,0.4858,0.4710000066552311
Batch 4 Forecast after replay,hybrid,rca_t3,rca,Batch 3 RCA,incident_payment_failures,HAS_ROOT_CAUSE,cause_payment_gateway_outage,cause_payment_gateway_outage,vector_retrieved_then_symbolically_verified,True,True,incident_payment_failures --HAS_SIGNAL--> signal_gateway_5xx; signal_gateway_5xx --SIGNAL_POINTS_TO--> cause_payment_gateway_outage,0.5005,0.4682909930124879
Batch 4 Forecast after replay,hybrid,forecast_t1,forecast,Batch 4 Forecast,forecast_case_churn_q3,FORECAST_RISK,risk_high_churn,risk_high_churn,vector_retrieved_then_symbolically_verified,True,True,forecast_case_churn_q3 --HAS_TREND--> trend_usage_drop; trend_usage_drop --TREND_IMPLIES_RISK--> risk_high_churn,0.4902,0.4709589993581176
Batch 4 Forecast after replay,hybrid,forecast_t2,forecast,Batch 4 Forecast,forecast_case_inventory,FORECAST_RISK,risk_stockout,risk_stockout,vector_retrieved_then_symbolically_verified,True,True,forecast_case_inventory --HAS_TREND--> trend_demand_spike; trend_demand_spike --TREND_IMPLIES_RISK--> risk_stockout,0.4775,0.47208298929035664
Batch 4 Forecast after replay,hybrid,forecast_t3,forecast,Batch 4 Forecast,forecast_case_fraud,FORECAST_RISK,risk_fraud_escalation,risk_fraud_escalation,vector_retrieved_then_symbolically_verified,True,True,forecast_case_fraud --HAS_TREND--> trend_anomaly_spike; trend_anomaly_spike --TREND_IMPLIES_RISK--> risk_fraud_escalation,0.4854,0.5195410049054772
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t001,external_geo_kgqa,External Geo KGQA,India,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.46099998871795833
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t002,external_geo_kgqa,External Geo KGQA,France,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.45354102621786296
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t003,external_geo_kgqa,External Geo KGQA,Japan,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.44341699685901403
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t004,external_geo_kgqa,External Geo KGQA,Canada,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.4413749848026782
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t005,external_geo_kgqa,External Geo KGQA,Brazil,CAPITAL_CONTINENT,South America,,not_found,False,False,,0.0,0.44262499432079494
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t006,external_geo_kgqa,External Geo KGQA,Egypt,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.4421659978106618
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t007,external_geo_kgqa,External Geo KGQA,Australia,CAPITAL_CONTINENT,Oceania,,not_found,False,False,,0.0,0.4411670088302344
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t008,external_geo_kgqa,External Geo KGQA,United States,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.4417919844854623
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t009,external_geo_kgqa,External Geo KGQA,Germany,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.4499159986153245
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t010,external_geo_kgqa,External Geo KGQA,Kenya,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.44954201439395547
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t011,external_geo_kgqa,External Geo KGQA,Mexico,CAPITAL_CONTINENT,North America,,not_found,False,False,,0.0,0.45025002327747643
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t012,external_geo_kgqa,External Geo KGQA,Argentina,CAPITAL_CONTINENT,South America,,not_found,False,False,,0.0,0.4439589974936098
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t013,external_geo_kgqa,External Geo KGQA,South Korea,CAPITAL_CONTINENT,Asia,,not_found,False,False,,0.0,0.4453750152606517
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t014,external_geo_kgqa,External Geo KGQA,Italy,CAPITAL_CONTINENT,Europe,,not_found,False,False,,0.0,0.4423749924171716
Batch 5 Invalid Stress Test after replay,hybrid,external_geo_t015,external_geo_kgqa,External Geo KGQA,Nigeria,CAPITAL_CONTINENT,Africa,,not_found,False,False,,0.0,0.44537498615682125
Batch 5 Invalid Stress Test after replay,hybrid,math_t1,math,Batch 2 Math,math_problem_x_plus_2_eq_5,HAS_SOLUTION,x_equals_3,,not_found,False,False,,0.0,0.4418749886099249
Batch 5 Invalid Stress Test after replay,hybrid,math_t2,math,Batch 2 Math,math_problem_2x_eq_10,HAS_SOLUTION,x_equals_5,,not_found,False,False,,0.0,0.4432499990798533
Batch 5 Invalid Stress Test after replay,hybrid,math_t3,math,Batch 2 Math,math_problem_x_minus_4_eq_2,HAS_SOLUTION,x_equals_6,,not_found,False,False,,0.0,0.4451660206541419
Batch 5 Invalid Stress Test after replay,hybrid,rca_t1,rca,Batch 3 RCA,incident_checkout_latency,HAS_ROOT_CAUSE,cause_database_bottleneck,,not_found,False,False,,0.0,0.4450419801287353
Batch 5 Invalid Stress Test after replay,hybrid,rca_t2,rca,Batch 3 RCA,incident_api_errors,HAS_ROOT_CAUSE,cause_auth_service_degradation,,not_found,False,False,,0.0,0.4429580003488809
Batch 5 Invalid Stress Test after replay,hybrid,rca_t3,rca,Batch 3 RCA,incident_payment_failures,HAS_ROOT_CAUSE,cause_payment_gateway_outage,,not_found,False,False,,0.0,0.4415829898789525
Batch 5 Invalid Stress Test after replay,hybrid,forecast_t1,forecast,Batch 4 Forecast,forecast_case_churn_q3,FORECAST_RISK,risk_high_churn,risk_high_churn,vector_retrieved_then_symbolically_verified,True,True,forecast_case_churn_q3 --HAS_TREND--> trend_usage_drop; trend_usage_drop --TREND_IMPLIES_RISK--> risk_high_churn,0.4902,0.44475001050159335
Batch 5 Invalid Stress Test after replay,hybrid,forecast_t2,forecast,Batch 4 Forecast,forecast_case_inventory,FORECAST_RISK,risk_stockout,risk_stockout,vector_retrieved_then_symbolically_verified,True,True,forecast_case_inventory --HAS_TREND--> trend_demand_spike; trend_demand_spike --TREND_IMPLIES_RISK--> risk_stockout,0.4775,0.4531250160653144
Batch 5 Invalid Stress Test after replay,hybrid,forecast_t3,forecast,Batch 4 Forecast,forecast_case_fraud,FORECAST_RISK,risk_fraud_escalation,risk_fraud_escalation,vector_retrieved_then_symbolically_verified,True,True,forecast_case_fraud --HAS_TREND--> trend_anomaly_spike; trend_anomaly_spike --TREND_IMPLIES_RISK--> risk_fraud_escalation,0.4854,0.44491697917692363
