run,query_symbols,retrieved_key,score,edge,domain,relation_family,active
hybrid_no_replay_decay,Canada + CAPITAL_CONTINENT + North America,Ottawa-LOCATED_IN-North America,0.147,Ottawa --LOCATED_IN--> North America,external_geo,CONTAINS,True
hybrid_no_replay_decay,Canada + CAPITAL_CONTINENT + North America,Mexico City-LOCATED_IN-North America,0.1177,Mexico City --LOCATED_IN--> North America,external_geo,CONTAINS,True
hybrid_no_replay_decay,Brazil + CAPITAL_CONTINENT + South America,Brazil-HAS_CAPITAL-Brasilia,0.1865,Brazil --HAS_CAPITAL--> Brasilia,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,Brazil + CAPITAL_CONTINENT + South America,Buenos Aires-LOCATED_IN-South America,0.1479,Buenos Aires --LOCATED_IN--> South America,external_geo,CONTAINS,True
hybrid_no_replay_decay,Brazil + CAPITAL_CONTINENT + South America,Brasilia-LOCATED_IN-South America,0.1416,Brasilia --LOCATED_IN--> South America,external_geo,CONTAINS,True
hybrid_no_replay_decay,Egypt + CAPITAL_CONTINENT + Africa,Egypt-HAS_CAPITAL-Cairo,0.2031,Egypt --HAS_CAPITAL--> Cairo,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,Egypt + CAPITAL_CONTINENT + Africa,Nairobi-LOCATED_IN-Africa,0.1558,Nairobi --LOCATED_IN--> Africa,external_geo,CONTAINS,True
hybrid_no_replay_decay,Egypt + CAPITAL_CONTINENT + Africa,Cairo-LOCATED_IN-Africa,0.1426,Cairo --LOCATED_IN--> Africa,external_geo,CONTAINS,True
hybrid_no_replay_decay,Australia + CAPITAL_CONTINENT + Oceania,Australia-HAS_CAPITAL-Canberra,0.209,Australia --HAS_CAPITAL--> Canberra,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,Australia + CAPITAL_CONTINENT + Oceania,Canberra-LOCATED_IN-Oceania,0.1284,Canberra --LOCATED_IN--> Oceania,external_geo,CONTAINS,True
hybrid_no_replay_decay,Australia + CAPITAL_CONTINENT + Oceania,Italy-HAS_CAPITAL-Rome,0.0366,Italy --HAS_CAPITAL--> Rome,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,United States + CAPITAL_CONTINENT + North America,United States-HAS_CAPITAL-Washington DC,0.2061,United States --HAS_CAPITAL--> Washington DC,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,United States + CAPITAL_CONTINENT + North America,Ottawa-LOCATED_IN-North America,0.1309,Ottawa --LOCATED_IN--> North America,external_geo,CONTAINS,True
hybrid_no_replay_decay,United States + CAPITAL_CONTINENT + North America,Washington DC-LOCATED_IN-North America,0.1309,Washington DC --LOCATED_IN--> North America,external_geo,CONTAINS,True
hybrid_no_replay_decay,Germany + CAPITAL_CONTINENT + Europe,Germany-HAS_CAPITAL-Berlin,0.1992,Germany --HAS_CAPITAL--> Berlin,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,Germany + CAPITAL_CONTINENT + Europe,Berlin-LOCATED_IN-Europe,0.1396,Berlin --LOCATED_IN--> Europe,external_geo,CONTAINS,True
hybrid_no_replay_decay,Germany + CAPITAL_CONTINENT + Europe,Rome-LOCATED_IN-Europe,0.1343,Rome --LOCATED_IN--> Europe,external_geo,CONTAINS,True
hybrid_no_replay_decay,Kenya + CAPITAL_CONTINENT + Africa,Kenya-HAS_CAPITAL-Nairobi,0.2065,Kenya --HAS_CAPITAL--> Nairobi,external_geo,EXPRESSES_PROPERTY,True
hybrid_no_replay_decay,Kenya + CAPITAL_CONTINENT + Africa,Abuja-LOCATED_IN-Africa,0.1343,Abuja --LOCATED_IN--> Africa,external_geo,CONTAINS,True
hybrid_no_replay_decay,Kenya + CAPITAL_CONTINENT + Africa,Nairobi-LOCATED_IN-Africa,0.1255,Nairobi --LOCATED_IN--> Africa,external_geo,CONTAINS,True
